id,name,category,description,address,latitude,longitude,operating_hours,price_range,images,reservation_link,rating,review_count,is_active,created_at,updated_at
,신촌형제갈비,restaurant,,서울 서대문구 명물1길 2,37.55773651,126.93742228,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩₩(보통),"{""/api/photo?ref=ATKogpeXjJCsrFJ8AsVbfGPF2eIWFEltnTUd-eS-JTLmkGUwQu-TmvOd8_ejYV22d0YuJerub7vnxH404P2yKbulvObjyeABbvAUdXTyy-uLttdq776mYhpWsYRyQ1HE4SFYUPLSXt4Bv-dEwZ8-frV-eZq1SfW-ufTCR7VZF4ALm3mRMZdiyQPyYk82QpB9_heJ4lHS6fFrbqHW5vRDy9P2Y4Ju9Y-eY16AH5dxS60ximx_RFOXawLZvkkQj8A872hWpy6YupZzXhKqhfZsRRiRhkKLbM41bbhba3i-yefdWdBUQ2B30Wpz6v633oNJ7kGsYhBCpNzz3RXLa7aBIIe3SpQ432SY3bRkH-SIEJd_oby7QdkQBns16a0jcS4bIQ0eSThI9PdNAT8WJMlFXZ8TPJPKx0aALrXm965_D1hXhhg"",""/api/photo?ref=ATKogpdeKB267tIntt3_hSqoiNeZIJL4USeV93YW6UDBlqBgKbWTIcQTUAOd-K1vSOf2_B4m0jEpBLRhVlkIT-oYivsi38mV3hbYoAKnPElfnsbA_EIRkxfMGkapDs1nPULK9V14jyJO0ncS3H46WjP1UmOrlZnYAV76najwMjhykYzhcDoa7bFFoDfUYiVENiHakR1Jw_J_OLaLvE_QNt9rI24x4u5C0dJC0JPwhEI-JA5Zohwn6rKOzp_VhuuxCzZk8KkL6HgiW7TFs1vmxecN8FmKwqMxHQBahMgDLKG07GVsLfygFJxDs1H7CjM5vkLPy7uu9ljg0YsTBpYSbtyQllH_gEtDowFEL5VvDKW_3d2MlC4ekdnnDiRI_ytbQN-nOb5_Ha4NtUIYRo11mUBCnGQpvYsZVPSbxZ2Q1QN5AZE"",""/api/photo?ref=ATKogpeI2BzF5jBfTenKlyuiR3Nac6mrjBvHBVHphqz71MMfcpQx4Z98IFd0w-c7ci0QDpJ1kuP1INlTRDwSCPJSwGWgmlt111u50NawLCf8hKTmld5xatUnl1WUvhn_-_zIjuoxORuuDkXX7Sd-jPkWD09KZQVFXEilfXSag3RZgrQZaxTUN7hNDDIkkbUcHy_PLHID3_iAr7-U34nB4YwiVw-GOYcQYJ8Ljg5VfaUdLUsn_v7OQ0bIJpMjVXHYlSTBKdTNy5nPCgaVv5DDpDKpj7a2-6xWd2s8W0WhKX7ldiJwVwemPA-iqnFCPFeMqueSu4_vhQhpZ0QebiABsmGSMbDZKi7jvVnIPSzWGvxwcFVkpAljJ5jc52yzCEKYLOi6G6NIJyWCoTP9jy7SHa3btYQk4TmxnxSRQyVHRnTQlXZpWAF1""}",http://place.map.kakao.com/15937430,3.8,993,true,,
,통큰갈비 신촌본점,restaurant,,서울 서대문구 연세로5다길 40,37.55708561,126.93343450,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩~₩₩(저렴),"{""/api/photo?ref=ATKogpdQTIk0-tqGgQNTlJrZB7QiEpTDpfMAfB_xvZJSiBxeOGzQ-rXYsh8CZpegx7O3JSVwncSa7Pk0AWUvp18GsReoR4eOLxHzchU9MZeYPjm99lPsn1fngC2quV_ukjGWBWLFd1CMyD08YIUvFoP1TaMYaGJqTf97GggQBHHxG2AC1Vc0VLz1Np983ZsuKCWe2QJYFbvsepzQCPBRqGzgcagCqlwZDSq2ODskI3SJ_mC5FipyeJueq5-0W1d95KUV7xaj-oq4BlE9V2N3XFJB7S7GmXRQYkDr3iPPDoISmaD2dQ"",""/api/photo?ref=ATKogpeGKly8yGsBznlc5vBJ6vg1tSW0Y3HMBCqzEfVHHb_spz6vtSCLVegGG4hQHFB4Pf2BXULglNzRjO5nGYjMr-QeUF9_mX87PtypZ0O9AZ94BFTu0wqYI5Rm0-wX1Lg1fG3Qn-0YK9RK_OMeVs4XyJmDNRUBq58-GnU5APpZSU3AyWF8SntY4D1yL2l32P2GQj834ICIy3d1XD9vcjYTERPInG2qLb62u8GION4Nq_dRPj4pVEjAYW5Bk36TG39yUFWUMnBn2-rP4HuMblgLPVaHC4rlaINyt1ApgTup6SkESw"",""/api/photo?ref=ATKogpf1R0E7hZ_F0_hPk9U6_POLqaeJgqAo6nWPxS7ZMc9BuMvlyxMS-JBgsNDdP29M-1j3KxeUEwedqbOGFgNHWajabdXPnN_OeXf2vq8BmoXNwaYHxmNXzNgLgB9d-qmr0HO_S2fawpdi5o5UytO8t8yg0i78s48IxRC6GH6PQJ-PTkvv48rNUfb4nvV36aqbzDEllP9r05HJqKbUtKdLDPbVI0Fl22AA43eVXjvf2HIeICHwynHpHEqYReVZy7PFGgGupya8c21mWcj13pmd127W9JvZhndln9J4tJlc1qwQwbcHpLEQdDDtPFLIT2raHkE_su0Ys72Ik8RFzVNaIJTkJbfhiltTICVftv9-7ACxq2FA6GjgEv5klnImOCBxf-kpnvJQFGZzxVCtoeps0MNtSFda_Aj_5Gojj0VM6inD-Eiz_Hr3zAQ8O5Q-mO3c""}",http://www.통큰갈비.com/,4.4,539,true,,
,꼬숑돈까스,restaurant,,서울 서대문구 명물1길 2,37.55790764,126.93729990,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩~₩₩(저렴),"{""/api/photo?ref=ATKogpdA0o3vhKYZ2e0U6hq3E772rZSKyunPSeo6We94p0u12AOmOt0zPjKj4t580bG1TNXnA49uli0CUyzauqEwDfl_RkRp3YH_qV_hxYWdeMhehabKl5ozVyKEnJ0Q746YAMdWr6EcUGJPHWkojiEbvS9kePavJaKk4ddFXhY5NmEGa03b1xcZmGVyH3i6ihW6JmA_ejtvR8ysPn8eKBFh9k01QvaE3gK0hiokg_7AUuhL80HLfC9ofjaIG3cqLnA9yRLgXaaSNVko-iD43HBrsvrqCM5gBHhee1Zi0L6rAVtXzapJhEqqe1pwCKTFENOVlgWGwQKmEnhElTDc1V2FjP7W6MKu8yQewiYuc3GVcimhZSWNMC1kxJNeaWFaDcjg5FBE02oG2YVUq5GT94FNG83VXARyYMj0lu0nZaVCeK_K8p-5A1DzbPY_w-5ODg"",""/api/photo?ref=ATKogpdsOLhAwLuI04iZ2pXlElWG7l-o1VOMmYr2s2oeITAk64RF7_V3lDHAU3wUzGcDTdhxsodnz3Gst3N1irhJZcDkSln7_I1Qa2gO1HnxIhXxBZVabs72wsYhdqW9c3e1zXVlzKS7LMZzvVPd1WcZtQPJ0hZKMS8YaQL47pkOcO3_U8IFWVHPSzUhDSS411lhhTOsQ1eNnFWLHt-24hvr7keABEQlDvvXYwtaOmWpwEAWGVS6x2SWCBPU727YvmhPJX7Rh0K14fMwGUfJCQCwIXA7LLygfdM1blaKrnvWfBRaqE92sHHlVF5urbwQiIIch6qFLFBnh1V71a_qQAmxs_p-El8qEqbJw1ZXoMBeJEzEBZTdwiavRoByeJmjlT2WEXCY-QztBiWL83CNmsz1RhFKHsl1U0BmfREG7_WBGw0N18a0"",""/api/photo?ref=ATKogpcNzdTOkfY_mCsSqiBTQAtoglQQ2bKDgXp4g5nywa5C6Kz8X_y784651HQbbR08tiMzAFyTCRNCb_4oLTR1YjnC52PspbmYX2Pe0M8EtVGsPnUOc1pTZ7oT9peMyGWEnxWw6RREGovDvJceOn83CLI9BchD88Nm2H1kUFWC8TAaEwgvcSK_G-By3Im3k3dgwvz60bM2fZtwGMdDmsJL1uwuWddJiWC3QfWGqXZ0gq5lXv5w-aOAP8LBqZLjpfTUUQtAeK5FPVr3yqhWip2crZqQp7SddYW4BhIWFhNOErW9e6xlvOVjKacC3K4U6J96bZ9DLaHTCyULoVc_IMi9yiHvCVgJn29AYWdm0xckqq9tkkYXLDtMCmVxj1JKpzUe-1fqsgicng0GD8CAfjXifdALTnlVHmOElCfrzJzlse9lSe9I2RMp6xqUalF7amPx""}",http://place.map.kakao.com/27144649,4.4,806,true,,
,고삼이 신촌점,restaurant,,서울 서대문구 연세로7안길 38,37.55831890,126.93472816,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩~₩₩(저렴),"{""/api/photo?ref=ATKogpfSjxC9zMi7JTFyTG3mI9Mw1oagBogFsc6fidHK95LGYgU3RbT1rZVsnhx3DO-d81qQFbY1OfWgUDS5-B7QdsmZsMgAv-NqI9u6VhGOe9AbyidKzo37OqyxkfE0A2pfy4IRVnMy5DklkaHtp-s03bNGScC2f2tRmNV5-XnEEHPtI1LOvlZLpI4ne7tSZ_s7HbVhHw1VS2GK6MrN9bUipwepGQwcXrZdUefuniameBuM3XHhc1v9c1D6AAGgLtblgZ-EVgwo7qdHesUBlOGkppeXquOPvrO9EQ8Z-ObswaJtUNmSaaMQ4qlMi24l3F_s1MZqBrEsAALQa0fvULCUlqgmPbSz8Mmc2d9dHmG-_ihpAyDMi6vfw5LPkGaqp_HFlC-4hPrBPB4q1T5vdm9WcG6J44CPVQCwvBuYtx5EToA"",""/api/photo?ref=ATKogpc4-HVrkSbt8Ju5P_sOhDkPT63WS4rkG_3zhRTlyu0M1tF8l5D3FKqUGlm69g3fIbUij3yaMDfyySyeGPmDlHjFHCitPjhj3hcPPFW9D5ayRB74j6oE_tZC51MVl8tKx67BJxAFcoYX_pnbKW1V0f1pJ3Tne9CPQVCfKSmoJkss3zXfOtw5TnLIFgmx_735Gp4LM8BOgF0UwfYdZHjcH5gl3VculRlAhxc0yNtcXzX5BzfSfD-4dqxtdV9jG7egamPUinPJfqqcFH1Ec6h-WIF35HsaGnWSXcJISL_SdjBS1RA0WKjMIwO__pBbH9ocYNKaKMG1fG6XFLexEWCZU0mRws50y1OM2JOIuLebFhvXqUH77iFqe8SZaaBWvUXLru_hm0TdaU3LzNT12dgkp5YM7dLP8UuYPXDE15PtgyY"",""/api/photo?ref=ATKogpezd3NeqOplI_KG9zEKZBXHxj2uitvrPLcgdHxicoCL3xd4F_m3IgOGewto7TODn6defoQ6g9cqYqRQXFg174NOvw9sPvdqA7acNQmQPHdedtQ3lc4S3K6kOqKCgNGIGEftMRTndsB5i97hfbNm_M7hsa73j7AKT3IwCUfLjy7pkmIzEst-I5-kJp5jC0BtCopRdJoPIYBlL9vlH7eATENzLR7jFt1trZn08RVt0cblmaaZkrfrJWIJtJ0EbbAfS_wYMdGuxj9Zj7WtT-b-XWWS2P5MIagum9Stu0PuI0Fs67-3FJR1MSnddOxl-hvmZOZBQwanomV8bjVJ_YM1w4xAJn-snthZUltjOGlr98bXf9Lerjo9iH1f1XSn_tlhVr9WurVQMHY1G_-a0NzYhnoyelZ1YngbdeQpv6SmZ0_cbSNcVxVLjjFDGTdx3scT""}",https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ssc=tab.nx.all&query=%EC%8B%A0%EC%B4%8C%EB%A7%9B%EC%A7%91+%EA%B3%A0%EC%82%BC%EC%9D%B4&oquery=%EC%8B%A0%EC%B4%8C+%EA%B3%A0%EC%82%BC%EC%9D%B4&tqi=iNBwdlqps8wssiUzPbGssssssdo-177208,4.5,1000,true,,
,신촌수제비,restaurant,,서울 서대문구 신촌로 87-8,37.55590152,126.93637129,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩~₩₩(저렴),"{""/api/photo?ref=ATKogpcmqsaGDq2YZiLl42br5bsDlElpszAbTqSibRnf8O8_Y4CP-I0iHz2S6GGIJm28lgrTKealbJYnmgxbzcEpy45bUwH64T2DJQqZNP83gs0nPbelRgApN0v5f5UKEI1k1JGt-nUg93W4Q2zWgEDDWk_zIGDqwleQZuDVVTVJFK0eS3FU8LlXWesstpmjIsH6oxutpT1BO0LodSeXk8bIj63QFlMFyqozaqsmLMXxE8eM6-wCXMDaKfsWpMCOT91lkkMMnLFwl9gF9A_B_cqCyajzTeYcr296Vl6konkw6-nznOzch88JPbHxd4KRhjzdMk7PoPQVRRTBuJ6srfDB77V9TEb-AqboWAu0FnqfdbYbdqRyuKfRoh-b3kp4zRZ2FYUMYPKbo7U_6lqsQUqfsE_7nGq0FIwDRsEkXQefWjysIOym"",""/api/photo?ref=ATKogpfoyLMc2_hZoku0pz1GgXfAS6GzVkWr66M5wS3Gpi5gldZ1nv-09u21nyt46B2VUyvOOX1jy971jU1WEnEtYdwIvSqYUPh8QA1NTIbF2Hc_7C31FiM8yjuieUZRDQNEiZtQKvEW54LbjmfWxAPYRhy_0LEK2y050t9KSunLM8_siNQT2slrNAORhz4bK1NlhCwW61c1tD5-6yHSsy5bjqVVIrjKO_8EYUu3kK2yNPVAMqO3peoL7Ila3EUvQN3IX1kztIZUAbmk4OdujZw1NE2JO71jrYv7MVnjW4g_F7cfjf_uVVHIinhqhOA_gkLSvWevjprSMnEusSk8Cp9k7iqEhKnOtwAGScEihHSwQgEx8qCPdY9FH8Z6Es-av-Jsq2QHy78-hKPZTovXK0rkXjNes1dYGHtLK6pyukGLJjYmy-zx"",""/api/photo?ref=ATKogpfheMVRbh8wjLGw_fJe5G97MaNuMN1FU4ymSC3RLGXHs4YEEDGJZ74F45CPDPIr_rWgBCPI49S6KAMkU2xbkQGSAD9h3H-wUcaQQpVNCZOIHdfoQB4jUHd3cxLTDKxtPlMw-UcCW3522Tlr4AF6dp22YT3p0hpELGZ8U2rDgvahlRBOL0oobE9avA6YFT0qNKAGq6QyVDgTJ92fefADAVMUSlOSfOmC_34aTBEBDVDLaz2h1cz7jNtZbYgIhrOTgdFUbSH2b7qXvwdVzM0NWPAKNMPI0yW_H9LpcPSlaBbEH9q_hD2kjbxWFWeGp9TuE2nCuc50J9N2E39i1MI1TVnlXQ4f6sx8d178uJIK5RYoO_-fmk1duaSYQPWbHRvLipvE_0DeWj1p92bXXLOOm7z-vVvcnG0VocSLm-UJilEm30EjBx3NtTNIFskEbUPq""}",http://place.map.kakao.com/12502450,4.2,827,true,,
,정육면체,restaurant,,서울 서대문구 연세로5다길 22-8,37.55678351,126.93455295,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",,"{""/api/photo?ref=ATKogpcS0xbtd_88H8vhm-2Ka5WAtZNC0QxpyjCIJVoFVJgs6vtIKX84E2cOp-Vh6O9GzmEnN6Yzc6v8EpC94M-5ucszTAfqyl5SYZwapuSTlMWP7XNZK2BFhR05kDsPIOoTcmWw0qxmpG5adlfvtgIeaYrcpOlnE8cozbbHy3ufD2OiW-SyENcUV4Gn1h4xa_Xsd1_mCbnpK9QhTfnAPioAVVaW0FWw2Bq_tkHj2F3o6k_OBIzhlfGuXqrsx1S_2MQEN4SQpX622zB-GsSVMAX_sGAxODsK_peH4IKDFuhLnRCjUw"",""/api/photo?ref=ATKogpelNU5SYZ36-au-DJNnydOzVVePsfN8809EDrwe2x6gTm5snZjXgSY5hlloD6EWhcfb-lVQ0V--f7P8PaMv4GONvFVcWXrLiwNRzUYMbFDH2tz2tprhFORoleU0kgBFbfsCsnOffYPG0qKso_C1I_XAKtTHAVhCjWvud62z6tqXME7NXIBhEFt4HiEEqNf1efgmrpXv4sW9qZHQZnyiDl709xcjUfxv_l142bXHSkcnLz2qQBulIQVQixOyuTmSlz1du2LAnfccpViXN8TR_SBduiaSoVyFxmn-ti-2pd0KVQ"",""/api/photo?ref=ATKogpeWTRfBd0BIGONgeHvPoHm_GLuO00aII_NLutURzZm1RxKIL4UT7hajoKZCY40gTCX8DXwp2dP1ZKutSoNNVUKYza_-VLaEahRo38A-FTqSeravWbrZvMreVEKGkvQ6dDHxTTrLApqR6cy3HzUS1MBbC7L45LMMOBmv6l9m5cF2Du2O979y7M0nG-BHNKAPEcAwebwD3hJjl7t29BGfo6FIkM_QT7uK15TTyyCC-FK17J9-L3E0ikuYoBUuVZqocOOoAskQnfF5tzbhgYr-Sno4L-muKyR1l7F5QUByWycGNyEGdcd34d_WN_z-UjIqqcTn4HdG2vtXOq0daaKhmWURoGGqmjjaZN_lGbM2j2gwMv7AE0-ivbfho_T24sNmyX-EgMUhk-glEVatKpydQpANTvfQkzqVBAAtTdwJ8kKj-UigZLtjzd0rAGQpDk9P""}",https://www.instagram.com/tastycube_/,4.2,718,true,,
,복성각,restaurant,,서울 서대문구 명물1길 24,37.55852575,126.93735824,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩₩(보통),"{""/api/photo?ref=ATKogpcGqTX4E8xpi6_tFWhqZnYEkaJikltFssr3LWV9YLpXz5kSguuBRQcFl3K5C1zA2fqFDFThTj_BqKw_lJtcfjhdtZRe7qAcHHj5nE-I0nM_C2e4C5XbfP4tbPSvwANYxuYyZMEd8xXo9Qo32aOc9sME6iWHIeJlDrYF5gClYs1GzUdqkw7XUIbN2T9tsEAQ_7EhdCnNjKp0YXKROsknkHMSsXI2GVLnpS_ZudSgizF08uIQyYKHFy6IGOpXRgPsS2lfReYh97XvwCXT6B4LPgkRuenkDdnWSHqFhJwr55ESH6dU1fqsBcz--EvsvpE8-nJ3Gobhhpa3XhbYbW5oLoLlU9CeW_Wq8eSpPkPztGH1454bdj3t-dPhXSIsy1Aa4G3bQSTR9ROHIRzOZEqj07LBoP2Xhuql-o-bx0i8g9tTatx4"",""/api/photo?ref=ATKogpdY6bbjN5QsNce_K7ZpdRbY3kWs2w8ETrGdhtJv0hbYS9TdBTZReSmYT4BQQc1AOqFPIny0DqZwCzFnqF1m9w6HpIW4jRkGpwGnEVJekRU9WjZdSgUre74puxnYgQZh60-Wwvg8hnD1JYPYzXFF7YmHXLkp1c64wXHS4F1Z5vMxt1MTC9Ek_tjHi-5CuuIYaaVp3EbmflUCnFmTLQIpnrItBUXZOP1Z1DddL2JjX8TLp2immQ0Oko_16d4ttzFcla17811i91xW-itWk2DCI9XA6438CoDSEHm3UIoBF21KxzXhJGpzRhg12puDHHMjIzRVAszI2ZpCdowToe_DGVBicDshcVoRT_FmZ4TtMbQHnA7ioW1TrfSYL-yN8Ol79KiNpPJjijLzvpyRfe5cG70K68phuZogs2nsSZeLEgpvDXH9"",""/api/photo?ref=ATKogpe8kM4uEiGQmWje__ZOKxIt7GpmQio0RdOonZf3aPzMWxe9XphCVJmIZHwkn-3vo-Zi1HdvfJtfZqokKwQdVy9utogOiqycQUMuSnx5mnuFyJQwzyHRlyNMZCRtnXcd2v6g6UqCqW1-ZHeWODyyl4aLWOWMQ7aCZBLCVhzuMGYTiirv_SxmAVchccyTv6uGSVLc9myicNsxHqnxhgo4wvkisG-2C2bdWezAWdz-B0gZzrccXve4NKoUQdZ_nA4M-95vA1p3LPwBr5hkoKkpe7rsU07uRf4euahoAlw34Vy4jeG1lMXxZYMyXRzmqk1JrmbBH065ROxDeCa-v4TM21CGMYolKNa7SHl_gqyCjscJ1NLj3rEL7BssdnFMVIRVJMz22yurQa20AWqMfJNvKNbNsPYlJoFSR3DHUj2cOHGosQ""}",https://all3641522.modoo.at/?link=b8sb9w9b,4,808,true,,
,신촌황소곱창 신촌본점,restaurant,,서울 서대문구 연세로9길 31,37.55845243,126.93506305,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩₩₩(비쌈),"{""/api/photo?ref=ATKogpfMBZgFoKEzoGnoxFqvfy-Tce4woqVGvaGwRF-TKKQDv6WqXEq9tNVGbk_8h4H0CLG5fB_s1M0Mo1bGaDmeCA8zf-5BEotHdsGMdAysCsvxiC81TP4B1-bbsbSsNsrfsCmuJqhQytd44dl3RGRc6wn0cEk6AiV4O6CKYHum6sP7Z7BgTkC4bYmBue3MYJ6rL-dW9AHrgkej_4AlwkQstMNf7oyHwCqiDh1NuVV8X1XnWmQijuJwV2A0bF4TryAk3Ol2o9CXxvMwVy80avTdGFi1aTwzxC8k9jl2v8H68sgCFauAOJOKytaqhB502NtE6gwokeycgRM8Mv7YEqQifgFgwpHu3PuYAno29iG_4Wjt5sZ2YmxTPLMesdY7MNU9P1O6Xk__PmzNIQIriIPzTe_7BPQwYtGCcrjjx2xoQeRBqA"",""/api/photo?ref=ATKogpfpmeY-DUS8OZUtpke6VkRYlg0zaWnnuCsU2jDmPjyYqLZE8v2YjQ5Mr7s_bo1NMa_QgAybYsolnas-My_08Dd6NGi8isApVv78mZPyujiiayFJnnWV_Hka6NPn2e9ego16fUQS4uC0r580CzSCHLOiQ62kcCYkbDBi-UlINzVYnqWjNI3XxJqWGM7xL7cTA4S445wFxue7qq8afCyyb7TzQP_dsmRWFKtO-5XqZJRhNm_cciE25jGBB3bUZMIcqfgj6fXRiI52txY_WECMI-yML-dUip8HvAmZu2RK3puIPpYo14lE5eNqTCDzDv4gpYgQjN113DVA21tZfrdYJOJ5HwpRQvHPB4zt7PLjpHUSPYlUcVYLnSNjQLiXVMj9v8lLtDACUt2SjJGG28cEBkWE1aoP5EasrVDyp42ddTeN9w"",""/api/photo?ref=ATKogpex5kqB8ZDUORMg3q55Etubed8Cjkba-SzFQU3EXp6XdAYgFUJGBfdpcjX22rdJtCqs-jrQA2QqaAy3DpxTcUAEKdwIfE6HepnHas-0BbUr3MPf6qG_pZZFgyuPD9RtbpGtVsUMoMnWiRIAAQcI8JriEfociVqAE0JtoRapKsvy5-JTEizBarXayfXI-s2bGD4LqriMTUpMEu6mdd21v3C3Bh-lGcGIxtQbCoNf3os6hfDExK73zgBwzgYmgnayv6LH4jJYGUYMh5ZtZzt_D4XuKJ1fyDkEYF2r_WZegJn4JvF9o-roTYip9Q8vbrERs3yyL91WT8nPsVu2X1jDd27rN7Urd3lfiphgpJa-0CVbsW-dlTpZkEyAVt-PMVc8NRV0_jARlMjAZxEfvPS6PF2W2wiHJpiAj1r0VhDhxFMzaEQ""}",http://place.map.kakao.com/15847929,3.9,861,true,,
,아오이토리,restaurant,,서울 마포구 와우산로29길 8,37.55470470,126.92950502,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",₩₩(보통),"{""/api/photo?ref=ATKogpdsS6yPPBbNLTXt-XIEnaGJ_Cxj94_P8C5j7ZrMtSykJiPSLrPRZ0Jj5l-djEYzfgHr93kIasT0T6-7LeVm-W9FVT2tAkQ3BYtIYnV1Z-TalOaI0R2uFGt9BnnxmVjrOa6a02ZloSYQ5I6-TNlfx_WprAQaZnHHa5OMbnQlDvtjfpKwjjR2x9xYWBtIIbLSIL5BbFi1sOB6rwhzmHLM_7rDFxE-9yeADH4Kc8JUijhqtkX14vyF6AUvr777CJ1Ii-ZbdfUqR1D2ngBj34CrcWjVFAQpNOBRrN0rTQT-bQklm2v8O5XDoTHfelbKdGyUxZxytAHD6HC99Nw09fLvsq8YB_1L56YNDep6WPkiRN1it_fMbYyYZww6loNkWETBON8Ra7GmvIwCjgFdhjo8HoGOerWSzoiHER_2nU03TYM2W8Wf"",""/api/photo?ref=ATKogpdNTAa-kDsbZqbIpJ9LditBbRSxbKa2BFttCOMjBg6CcGy-yYpUT9JgeGsptlskyqiccfSS7fwR2U4knkkVesr1X3hUuV-H9DlB1fhdbywu3DF8ezxWCiuWeNL6oe26f7qIb7fqXXKL6tp3VNH1K28WZoptnF46nfrqYKEr4R8i2P0WtvqHZWUMLy2bXM841Uu0QvDWUBvCnXIecMJwuNv8Z1Fj865YHcnkDSUQpJYb-m2IAphlRQLjDyXCMG-CWCJ7rn5zeMhOX1r1runRiXWhitJ7U-qxpT_SzUfonTzf4F_VjzdeXIkRdO_6yFrVx53PqdbquC4JSWwo9EHeKlQHf93hoJ9WuEbvPBNVilSH3iY5FwjJz7Jx5twIP-SxbOhp6Oc2tA49j6K6aPfPf3uj9f6ol8N9C5x9tAKO_03duA"",""/api/photo?ref=ATKogpcRQHVB9DNfXyvf6yn53Au6Yhls5WnkE8NXT3G2OsMaJTIbCTlkw30-JLvW-k7tjdCVUzY-tinhYJt6LyFxO3rJAsAKz0qqKKNFrqeBtGTg0unSGC0Kbc9AMZNJUdY6lWj6TugsKuyk7MrcayZePpU7-DOlwOSqn4n9R0AWNOP8OBEkrnSf_8msYfc_GpYOyCt1nHfrdb2NniVF2lpXzI9KSZjI09XzPgKPFYOOdvdcXxftvf3FI03A_yV8SMCt_E02sSdSjHZToMZM1WT9dg0-BKGBBt4m5tVLzg8XmEbLo9Hh0yFg8slgayxnDuRrrZTVHH-tcnm4POGKhJ-J1pF6lUeZ7a5edntJmkSiPvl2ExJBNyTRZe0vXf7DgwX9p5GtfB2YZHDxHMzEzji3vi9SfNg5bTTDYlicV3czIxM8jWVN""}",http://place.map.kakao.com/24504952,4.4,652,true,,
,철길왕갈비살,restaurant,,서울 마포구 와우산로32길 24,37.55460142,126.93161238,"{""mon"":"""",""tue"":"""",""wed"":"""",""thu"":"""",""fri"":"""",""sat"":"""",""sun"":""""}",,"{""/api/photo?ref=ATKogpfmO4oGqfXItND_oBMm4-VRLalgouA7m394XdTNdkhyJ9UNBWEnz1KbT4MtpIoJdbfHYDi-EQiDcE8uFtnRnkF6XmOgmZws4m6sdnZO3wYaG1yRViLh2PdRKGrHfx9_sUFYAPjaGwaaE0xDTfUEKt1nBTOiAWQCDVvlMPxpnNBBxQTAf3j822U9QSe6HIMQsIRzGtR1xi2HFK982qGdpUoIIlUSYc7t7RO9b4u0ylLYzq03GcjsZPd-oy15ofq6xDQW1RRYau6rKfL1hw7P-G9Aja7BtFCDoKRv_R041CQuXg"",""/api/photo?ref=ATKogpdFpSjAUAOA0N4wtkDqIOOdqzoEHsiNz9je8QbEINAbbK0xT05ZzV9nzxmQkknMvGtsH3L5P-QssVQXCPzQpiARXRCxgGagH-OelYYn4DX4iYhzreyw1cc901oXodscHCGQG3onTM8AnNDFt5-yjmMcASTlW41PwdedAX8zjWT9tFfb5ihK0W2FXG3H1Fu_1JLceRJt-9cd5K2KPIhIaGIOpp3uWfFc7nk95Ouv5nEDpCSygmMMjuHEJP_KM-bAQdHbJwGtpg-JNhEhqP7He_tj3diS4NHtUmi-jxRsSYKAfg"",""/api/photo?ref=ATKogpfg2GT3mBQMc217gHXRat6mH4_UqEZZuJhVv7a-35nCMo_t-KiwGJrNeKJas33FFp9vA2todzNs0shMslZcw5G_WI7Rl9IXjGtZdiFwLiqe-aReRqqLjv9dbahR3gTkglmt3_HXInXat_rMl2JDhvsVFAzToZBSqq5e7BjREeKQwJk-NeKFxYFhPHpAqZmLxVttbTjqCpCQy8Ii2pzd1IP-3fiR5FStSbuD_iPM4GR_DokFXc7W6wnopRKRZ8QGqEjAt7261ZfzZE2zTHVhrJxCeB-FuZDySRVzGeZ-8m1eOKNQkg83P-h7VoGbE5xUSYUBvntO0o6s3XU1uCLmVbgaef-KU4wfkt0DqYY9l9drAn4wG0azSb_OUU-wTP1bLdBNQMNH1PDnOy6Du1CtqVcMNxDuBSaIFDZlLMogXP9Zhbf3dfMCQgRwoyyJSdUm""}",http://place.map.kakao.com/13091834,4.1,714,true,,
