"id","name","category","description","address","latitude","longitude","operating_hours","price_range","images","reservation_link","rating","review_count","is_active","created_at","updated_at"
"","신촌형제갈비","restaurant","","서울 서대문구 명물1길 2","37.55773651","126.93742228","{}","","{}","http://place.map.kakao.com/15937430","0","0","true","",""
"","통큰갈비 신촌본점","restaurant","","서울 서대문구 연세로5다길 40","37.55708561","126.93343450","{}","","{}","http://place.map.kakao.com/69756475","0","0","true","",""
"","꼬숑돈까스","restaurant","","서울 서대문구 명물1길 2","37.55790764","126.93729990","{}","","{}","http://place.map.kakao.com/27144649","0","0","true","",""
"","고삼이 신촌점","restaurant","","서울 서대문구 연세로7안길 38","37.55831890","126.93472816","{}","","{}","http://place.map.kakao.com/17505297","0","0","true","",""
"","신촌수제비","restaurant","","서울 서대문구 신촌로 87-8","37.55590152","126.93637129","{}","","{}","http://place.map.kakao.com/12502450","0","0","true","",""
"","정육면체","restaurant","","서울 서대문구 연세로5다길 22-8","37.55678351","126.93455295","{}","","{}","http://place.map.kakao.com/1705674698","0","0","true","",""
"","복성각","restaurant","","서울 서대문구 명물1길 24","37.55852575","126.93735824","{}","","{}","http://place.map.kakao.com/7892863","0","0","true","",""
"","신촌황소곱창 신촌본점","restaurant","","서울 서대문구 연세로9길 31","37.55845243","126.93506305","{}","","{}","http://place.map.kakao.com/15847929","0","0","true","",""
"","아오이토리","restaurant","","서울 마포구 와우산로29길 8","37.55470470","126.92950502","{}","","{}","http://place.map.kakao.com/24504952","0","0","true","",""
"","철길왕갈비살","restaurant","","서울 마포구 와우산로32길 24","37.55460142","126.93161238","{}","","{}","http://place.map.kakao.com/13091834","0","0","true","",""
"","부탄츄 신촌점","restaurant","","서울 서대문구 연세로5길 26-9","37.55667929","126.93509628","{}","","{}","http://place.map.kakao.com/21572456","0","0","true","",""
"","가화만사성","restaurant","","서울 서대문구 연세로5가길 1","37.55701500","126.93607835","{}","","{}","http://place.map.kakao.com/1536467186","0","0","true","",""
