name,region,city,category,description,address,latitude,longitude,price_range,duration_hours,companion_type,tags,rating,image_url,score,avg_stay_minutes,entry_fee,place_type
경복궁,SEL,종로구,attraction,조선왕조의 정궁으로 한국의 전통 문화를 체험할 수 있는 대표 관광지. 수문장 교대식과 궁궐 투어가 인기,서울특별시 종로구 사직로 161,37.5796,126.9770,budget_low,3,"[""family"",""couple"",""friends"",""solo""]","[""문화"",""역사"",""전통"",""관광"",""사진""]",4.3,https://example.com/gyeongbok.jpg,4.5,180,3000,ATTRACTION
북촌한옥마을,SEL,종로구,attraction,조선시대 양반들의 주거지역으로 전통 한옥의 아름다움을 만날 수 있는 곳. 무료 산책코스로 인기,서울특별시 종로구 계동길,37.5816,126.9831,budget_free,2,"[""couple"",""friends"",""solo"",""family""]","[""한옥"",""전통"",""산책"",""무료"",""포토스팟""]",4.2,https://example.com/bukchon.jpg,4.3,120,0,ATTRACTION
인사동 쌈지길,SEL,종로구,shopping,나선형 구조의 독특한 쇼핑몰로 수공예품과 기념품을 저렴하게 구매할 수 있는 곳,서울특별시 종로구 인사동길 44,37.5703,126.9852,budget_medium,1,"[""friends"",""couple"",""solo""]","[""쇼핑"",""수공예"",""기념품"",""독특한"",""실내""]",4.0,https://example.com/ssamzigil.jpg,4.1,90,0,SHOPPING
종로 청년몰,SEL,종로구,cafe,청년 창업가들이 운영하는 카페와 상점들이 모인 복합문화공간. 착한 가격의 커피와 디저트,서울특별시 종로구 종로 지하상가,37.5703,126.9827,budget_low,2,"[""friends"",""solo"",""couple""]","[""청년창업"",""카페"",""착한가격"",""지하상가"",""모임""]",4.0,https://example.com/jongno-youth.jpg,4.0,120,0,CAFE
청와대 사랑채,SEL,종로구,attraction,대한민국 정부와 한국문화를 소개하는 무료 전시관. 가상현실 체험과 기념품샵 운영,서울특별시 종로구 효자로 13-45,37.5757,126.9707,budget_free,1,"[""family"",""friends"",""solo""]","[""무료"",""체험"",""정치"",""문화"",""실내""]",3.9,https://example.com/cheongwadae.jpg,3.8,90,0,ATTRACTION
광장시장,SEL,종로구,restaurant,100년 역사의 전통시장으로 빈대떡 마약김밥 등 저렴하고 맛있는 먹거리의 천국,서울특별시 종로구 창경궁로 88,37.5707,126.9996,budget_low,2,"[""friends"",""family"",""couple""]","[""전통시장"",""먹거리"",""가성비"",""빈대떡"",""마약김밥""]",4.4,https://example.com/gwangjang.jpg,4.5,120,0,RESTAURANT
탑골공원,SEL,종로구,attraction,3·1운동 발원지로 역사적 의미가 깊은 무료 휴식공간. 도심 속 작은 쉼터,서울특별시 종로구 종로2가,37.5701,126.9851,budget_free,1,"[""solo"",""couple"",""friends""]","[""역사"",""공원"",""무료"",""휴식"",""3.1운동""]",3.7,https://example.com/tapgol.jpg,3.6,60,0,ATTRACTION
종묘,SEL,종로구,attraction,조선왕조 왕과 왕비의 신주를 모신 유네스코 세계문화유산. 한국 전통건축의 정수를 체험,서울특별시 종로구 훈정동,37.5743,126.9936,budget_low,2,"[""solo"",""couple"",""friends""]","[""세계문화유산"",""전통건축"",""역사"",""조선왕조"",""문화""]",4.1,https://example.com/jongmyo.jpg,4.2,120,1000,ATTRACTION
홍대 카페거리,SEL,마포구,cafe,젊음과 창의가 만나는 홍대의 대표 카페거리. 독특한 컨셉 카페들과 거리 공연이 볼거리,서울특별시 마포구 홍대입구,37.5563,126.9236,budget_medium,2,"[""friends"",""couple""]","[""카페"",""힙한"",""젊음"",""문화"",""데이트""]",4.1,https://example.com/hongdae.jpg,4.2,120,0,CAFE
합정 로컬푸드 직매장,SEL,마포구,shopping,전국 각지의 신선한 농산물을 도시 한복판에서 합리적 가격에 만날 수 있는 직매장,서울특별시 마포구 합정동,37.5493,126.9139,budget_low,1,"[""family"",""friends"",""solo""]","[""로컬푸드"",""농산물"",""합리적"",""신선"",""직매장""]",4.0,https://example.com/hapjeong-local.jpg,4.0,90,0,SHOPPING
